% teensy communication to/from Teensy
% 1 	Time (sec) from system
% 2 	(Tx) Send to Teensy
%   	(Rx) Received from Teensy
%   	(Qu N) Put in queue to Teensy, now queue size N
% 3 	Message string queued, send or received
1777025564.4275 ## Connection to USB open
1777025565.0864 Rx ;43vel 2128.3320 0.000 0.000 0.0000 0.000 4
1777025565.0876 Rx ;36mot 0 0 0.1 0.1 0
1777025565.0898 Rx ;43pose 2128.3350 0.000 0.000 0.0000 3.1295
1777025565.0910 Rx ;52gyro 0.000000 -2.166748 0.732422 2128.336
1777025565.0911 Rx ;89svo 0 0 0  0 0 0  0 0 0  0 0 0  0 0 0
1777025565.0922 Rx ;89acc 0.030273 -0.003662 1.170410 2128.337
1777025565.0945 Rx ;55livn 80 87 82 76 71 84 86 17 5
1777025565.0946 Rx ;43vel 2128.3401 0.000 0.000 0.0000 0.000 4
1777025565.0958 Rx ;40pose 2128.3401 0.000 0.000 0.0000 3.1295
1777025565.1001 Rx ;44pose 2128.3450 0.000 0.000 0.0000 3.1295
1777025565.1023 Rx ;68gyro 0.000000 -2.197266 0.823975 2128.348
1777025565.1024 Rx ;51vel 2128.3481 0.000 0.000 0.0000 0.000 4
1777025565.1035 Rx ;60ird 0.339 1.500 6672 2049 1
1777025565.1036 Rx ;44acc 0.034912 0.000000 1.170654 2128.349
1777025565.1047 Rx ;01livn 94 103 90 81 87 89 82 17 5
1777025565.1048 Rx ;90mca 0.000 0.000 16
1777025565.1048 Rx ;57pose 2128.3499 0.000 0.000 0.0000 3.1295
1777025565.1102 Rx ;45pose 2128.3550 0.000 0.000 0.0000 3.1295
1777025565.1114 Rx ;49vel 2128.3560 0.000 0.000 0.0000 0.000 4
1777025565.1147 Rx ;07livn 104 92 89 87 76 80 87 16 5
1777025565.1147 Rx ;78gyro 0.030518 -2.166748 0.854492 2128.360
1777025565.1148 Rx ;58pose 2128.3599 0.000 0.000 0.0000 3.1295
1777025565.1160 Rx ;55acc 0.033936 0.001221 1.171875 2128.361
1777025565.1199 Rx ;48vel 2128.3640 0.000 0.000 0.0000 0.000 4
1777025565.1200 Rx ;46pose 2128.3650 0.000 0.000 0.0000 3.1295
1777025565.1217 Rx ;36mot 0 0 0.1 0.1 0
1777025565.1230 Rx ;66ird 0.338 1.500 6677 2294 1
1777025565.1243 Rx ;04livn 102 97 92 86 74 81 96 36 5
1777025565.1254 Rx ;43pose 2128.3701 0.000 0.000 0.0000 3.1295
1777025565.1266 Rx ;53gyro 0.000000 -2.166748 0.701904 2128.372
1777025565.1267 Rx ;48vel 2128.3721 0.000 0.000 0.0000 0.000 4
1777025565.1278 Rx ;03acc 0.034180 -0.000977 1.171631 2128.373
1777025565.1300 Rx ;47pose 2128.3750 0.000 0.000 0.0000 3.1295
1777025565.1344 Rx ;91livn 106 97 81 90 85 76 70 20 5
1777025565.1344 Rx ;47vel 2128.3801 0.000 0.000 0.0000 0.000 4
